Size,Dirt Rate,Agent_Performance,Agent_Lives_Spent,AgentRandom_Performance,AgentRandom_Lives_Spent
2x2,0.1,0,0,0,0
2x2,0.1,1,2,1,22
2x2,0.1,0,0,0,0
2x2,0.1,1,5,1,33
2x2,0.1,1,5,1,174
2x2,0.1,1,7,1,38
2x2,0.1,0,0,0,0
2x2,0.1,0,0,0,0
2x2,0.1,1,8,1,8
2x2,0.1,0,0,0,0
2x2,0.2,3,9,3,41
2x2,0.2,1,1,1,37
2x2,0.2,0,0,0,0
2x2,0.2,0,0,0,0
2x2,0.2,1,7,1,18
2x2,0.2,1,4,1,31
2x2,0.2,1,1,1,47
2x2,0.2,2,25,2,75
2x2,0.2,0,0,0,0
2x2,0.2,0,0,0,0
2x2,0.4,2,3,2,80
2x2,0.4,1,9,1,32
2x2,0.4,1,5,1,125
2x2,0.4,1,3,1,74
2x2,0.4,1,4,1,31
2x2,0.4,3,14,3,34
2x2,0.4,2,3,2,33
2x2,0.4,1,7,1,42
2x2,0.4,3,31,3,38
2x2,0.4,0,0,0,0
2x2,0.8,1,5,1,36
2x2,0.8,2,5,2,52
2x2,0.8,3,12,3,47
2x2,0.8,4,17,4,110
2x2,0.8,4,23,4,31
2x2,0.8,4,16,4,37
2x2,0.8,2,6,2,20
2x2,0.8,3,11,3,97
2x2,0.8,3,16,3,20
2x2,0.8,3,28,3,22
4x4,0.1,2,58,2,375
4x4,0.1,1,2,1,3
4x4,0.1,1,5,1,48
4x4,0.1,2,146,2,555
4x4,0.1,1,26,1,46
4x4,0.1,0,0,0,0
4x4,0.1,1,16,1,106
4x4,0.1,1,66,1,8
4x4,0.1,3,64,3,672
4x4,0.1,2,11,2,210
4x4,0.2,2,96,2,53
4x4,0.2,4,73,4,281
4x4,0.2,1,22,1,48
4x4,0.2,2,121,2,228
4x4,0.2,5,34,5,498
4x4,0.2,2,10,2,234
4x4,0.2,3,89,3,104
4x4,0.2,4,35,4,190
4x4,0.2,3,95,3,343
