Size,Dirt Rate,Performance
2x2,0.1,0
2x2,0.1,1
2x2,0.1,1
2x2,0.1,0
2x2,0.1,2
2x2,0.1,1
2x2,0.1,1
2x2,0.1,1
2x2,0.1,0
2x2,0.1,0
2x2,0.2,1
2x2,0.2,0
2x2,0.2,1
2x2,0.2,0
2x2,0.2,0
2x2,0.2,1
2x2,0.2,0
2x2,0.2,1
2x2,0.2,2
2x2,0.2,1
2x2,0.4,3
2x2,0.4,1
2x2,0.4,1
2x2,0.4,3
2x2,0.4,0
2x2,0.4,1
2x2,0.4,0
2x2,0.4,1
2x2,0.4,1
2x2,0.4,1
2x2,0.8,4
2x2,0.8,3
2x2,0.8,4
2x2,0.8,4
2x2,0.8,3
2x2,0.8,4
2x2,0.8,4
2x2,0.8,4
2x2,0.8,3
2x2,0.8,3
4x4,0.1,2
4x4,0.1,2
4x4,0.1,1
4x4,0.1,1
4x4,0.1,3
4x4,0.1,4
4x4,0.1,1
4x4,0.1,2
4x4,0.1,2
4x4,0.1,2
4x4,0.2,1
4x4,0.2,2
4x4,0.2,2
4x4,0.2,2
4x4,0.2,1
4x4,0.2,2
4x4,0.2,0
4x4,0.2,6
4x4,0.2,0
4x4,0.2,5
4x4,0.4,6
4x4,0.4,8
4x4,0.4,10
4x4,0.4,4
4x4,0.4,8
4x4,0.4,5
4x4,0.4,7
4x4,0.4,5
4x4,0.4,6
4x4,0.4,10
4x4,0.8,9
4x4,0.8,13
4x4,0.8,13
4x4,0.8,15
4x4,0.8,12
4x4,0.8,14
4x4,0.8,15
4x4,0.8,12
4x4,0.8,14
4x4,0.8,10
8x8,0.1,5
8x8,0.1,5
8x8,0.1,5
8x8,0.1,10
8x8,0.1,7
8x8,0.1,5
8x8,0.1,5
8x8,0.1,4
8x8,0.1,4
8x8,0.1,6
8x8,0.2,5
8x8,0.2,7
8x8,0.2,15
8x8,0.2,12
8x8,0.2,9
8x8,0.2,14
8x8,0.2,8
8x8,0.2,9
8x8,0.2,10
8x8,0.2,16
8x8,0.4,21
8x8,0.4,21
8x8,0.4,23
8x8,0.4,18
8x8,0.4,19
8x8,0.4,15
8x8,0.4,27
8x8,0.4,21
8x8,0.4,21
8x8,0.4,20
8x8,0.8,46
8x8,0.8,43
8x8,0.8,32
8x8,0.8,31
8x8,0.8,47
8x8,0.8,45
8x8,0.8,36
8x8,0.8,37
8x8,0.8,39
8x8,0.8,37
16x16,0.1,10
16x16,0.1,11
16x16,0.1,13
16x16,0.1,10
16x16,0.1,11
16x16,0.1,5
16x16,0.1,12
16x16,0.1,7
16x16,0.1,9
16x16,0.1,7
16x16,0.2,11
16x16,0.2,12
16x16,0.2,14
16x16,0.2,16
16x16,0.2,12
16x16,0.2,17
16x16,0.2,10
16x16,0.2,12
16x16,0.2,16
16x16,0.2,19
16x16,0.4,37
16x16,0.4,19
16x16,0.4,26
16x16,0.4,38
16x16,0.4,32
16x16,0.4,34
16x16,0.4,31
16x16,0.4,39
16x16,0.4,27
16x16,0.4,30
16x16,0.8,53
16x16,0.8,59
16x16,0.8,64
16x16,0.8,62
16x16,0.8,66
16x16,0.8,58
16x16,0.8,63
16x16,0.8,72
16x16,0.8,65
16x16,0.8,66
32x32,0.1,14
32x32,0.1,13
32x32,0.1,8
32x32,0.1,14
32x32,0.1,8
32x32,0.1,10
32x32,0.1,11
32x32,0.1,14
32x32,0.1,10
32x32,0.1,14
32x32,0.2,22
32x32,0.2,21
32x32,0.2,23
32x32,0.2,19
32x32,0.2,22
32x32,0.2,13
32x32,0.2,14
32x32,0.2,16
32x32,0.2,16
32x32,0.2,23
32x32,0.4,43
32x32,0.4,28
32x32,0.4,34
32x32,0.4,40
32x32,0.4,35
32x32,0.4,45
32x32,0.4,40
32x32,0.4,35
32x32,0.4,39
32x32,0.4,43
32x32,0.8,57
32x32,0.8,74
32x32,0.8,58
32x32,0.8,72
32x32,0.8,81
32x32,0.8,72
32x32,0.8,67
32x32,0.8,69
32x32,0.8,77
32x32,0.8,71
64x64,0.1,3
64x64,0.1,9
64x64,0.1,8
64x64,0.1,14
64x64,0.1,11
64x64,0.1,16
64x64,0.1,11
64x64,0.1,14
64x64,0.1,13
64x64,0.1,8
64x64,0.2,18
64x64,0.2,15
64x64,0.2,21
64x64,0.2,20
64x64,0.2,24
64x64,0.2,18
64x64,0.2,16
64x64,0.2,19
64x64,0.2,24
64x64,0.2,18
64x64,0.4,56
64x64,0.4,36
64x64,0.4,38
64x64,0.4,32
64x64,0.4,37
64x64,0.4,37
64x64,0.4,28
64x64,0.4,33
64x64,0.4,32
64x64,0.4,40
64x64,0.8,75
64x64,0.8,82
64x64,0.8,67
64x64,0.8,69
64x64,0.8,85
64x64,0.8,78
64x64,0.8,85
64x64,0.8,81
64x64,0.8,60
64x64,0.8,71
128x128,0.1,13
128x128,0.1,6
128x128,0.1,6
128x128,0.1,9
128x128,0.1,6
128x128,0.1,6
128x128,0.1,15
128x128,0.1,9
128x128,0.1,6
128x128,0.1,12
128x128,0.2,22
128x128,0.2,17
128x128,0.2,18
128x128,0.2,14
128x128,0.2,27
128x128,0.2,26
128x128,0.2,14
128x128,0.2,29
128x128,0.2,10
128x128,0.2,16
128x128,0.4,40
128x128,0.4,47
128x128,0.4,37
128x128,0.4,39
128x128,0.4,40
128x128,0.4,22
128x128,0.4,37
128x128,0.4,43
128x128,0.4,44
128x128,0.4,50
128x128,0.8,82
128x128,0.8,77
128x128,0.8,82
128x128,0.8,68
128x128,0.8,71
128x128,0.8,78
128x128,0.8,75
128x128,0.8,74
128x128,0.8,89
128x128,0.8,80
