algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,1,1824,27,63,0.006000995635986328,True
DFS,1,6284,0,0,0.006000995635986328,False
DLS,1,182,0,0,0,False
UCS,1,1847,27,63,0.012003183364868164,True
Agent_Random,1,1000,0,0,0.01000213623046875,False
BFS,2,12975,84,211,0.04401087760925293,True
DFS,2,5862,0,0,0.04401087760925293,False
DLS,2,145,0,0,0,False
UCS,2,12947,84,211,0.12302756309509277,True
Agent_Random,2,1000,0,0,0.009002685546875,False
BFS,3,3949,54,194,0.014003515243530273,True
DFS,3,15217,0,0,0.014003515243530273,False
DLS,3,232,0,0,0,False
UCS,3,3872,54,194,0.025007247924804688,True
Agent_Random,3,1000,0,0,0.009001970291137695,False
BFS,4,7121,47,85,0.023004770278930664,True
DFS,4,13463,0,0,0.023004770278930664,False
DLS,4,235,0,0,0,False
UCS,4,7274,47,85,0.07001590728759766,True
Agent_Random,4,1000,0,0,0.009002685546875,False
BFS,5,14843,130,336,0.05501270294189453,True
DFS,5,5458,0,0,0.05501270294189453,False
DLS,5,128,0,0,0,False
UCS,5,14847,130,336,0.12302756309509277,True
Agent_Random,5,1000,0,0,0.01000213623046875,False
BFS,6,11178,83,98,0.03700828552246094,True
DFS,6,13471,0,0,0.03700828552246094,False
DLS,6,155,0,0,0,False
UCS,6,11224,83,98,0.10602593421936035,True
Agent_Random,6,1000,0,0,0.010001659393310547,False
BFS,7,12066,78,260,0.04301095008850098,True
DFS,7,1652,790,2248,0.012002944946289062,True
DLS,7,213,0,0,0,False
UCS,7,12159,78,260,0.1200263500213623,True
Agent_Random,7,1000,0,0,0.011002063751220703,False
BFS,8,12908,80,222,0.046010494232177734,True
DFS,8,4363,0,0,0.046010494232177734,False
DLS,8,129,0,0,0,False
UCS,8,12974,80,222,0.127028226852417,True
Agent_Random,8,1000,0,0,0.008001565933227539,False
BFS,9,10671,83,211,0.03600883483886719,True
DFS,9,11095,0,0,0.03600883483886719,False
DLS,9,80,0,0,0,False
UCS,9,10799,83,211,0.0980226993560791,True
Agent_Random,9,1000,0,0,0.009002208709716797,False
BFS,10,12026,102,280,0.04200887680053711,True
DFS,10,16533,0,0,0.04200887680053711,False
DLS,10,151,0,0,0,False
UCS,10,11998,102,280,0.10002350807189941,True
Agent_Random,10,1000,0,0,0.009002685546875,False
BFS,11,13370,90,262,0.04501008987426758,True
DFS,11,1943,962,2680,0.014004230499267578,True
DLS,11,185,0,0,0,False
UCS,11,13415,90,262,0.12102699279785156,True
Agent_Random,11,1000,0,0,0.00800180435180664,False
BFS,12,6051,68,78,0.02100372314453125,True
DFS,12,14064,0,0,0.02100372314453125,False
DLS,12,160,0,0,0,False
UCS,12,6189,68,78,0.04401063919067383,True
Agent_Random,12,1000,0,0,0.00800180435180664,False
BFS,13,15738,147,230,0.0580136775970459,True
DFS,13,16451,0,0,0.0580136775970459,False
DLS,13,188,0,0,0,False
UCS,13,15738,147,230,0.12802886962890625,True
Agent_Random,13,1000,0,0,0.009001731872558594,False
BFS,14,4206,52,91,0.013001441955566406,True
DFS,14,8580,0,0,0.013001441955566406,False
DLS,14,176,0,0,0,False
UCS,14,4219,52,91,0.02800583839416504,True
Agent_Random,14,1000,0,0,0.009002447128295898,False
BFS,15,5527,57,174,0.01800370216369629,True
DFS,15,10130,0,0,0.01800370216369629,False
DLS,15,126,0,0,0,False
UCS,15,5516,57,174,0.042009592056274414,True
Agent_Random,15,1000,0,0,0.008000612258911133,False
BFS,16,2827,29,37,0.009006977081298828,True
DFS,16,15541,0,0,0.009006977081298828,False
DLS,16,130,0,0,0,False
UCS,16,2935,29,37,0.022005081176757812,True
Agent_Random,16,1000,0,0,0.008001565933227539,False
BFS,17,10385,98,181,0.03800797462463379,True
DFS,17,6305,0,0,0.03800797462463379,False
DLS,17,97,0,0,0,False
UCS,17,10385,98,181,0.08301901817321777,True
Agent_Random,17,1000,0,0,0.009002208709716797,False
BFS,18,2307,26,36,0.007001638412475586,True
DFS,18,11420,0,0,0.007001638412475586,False
DLS,18,156,0,0,0,False
UCS,18,2400,26,36,0.018004417419433594,True
Agent_Random,18,1000,0,0,0.008002042770385742,False
BFS,19,11690,94,122,0.040008544921875,True
DFS,19,11836,0,0,0.040008544921875,False
DLS,19,99,0,0,0,False
UCS,19,11699,94,122,0.10002303123474121,True
Agent_Random,19,1000,0,0,0.008001327514648438,False
BFS,20,14160,95,244,0.04801034927368164,True
DFS,20,5026,0,0,0.04801034927368164,False
DLS,20,211,0,0,0,False
UCS,20,14176,95,244,0.1290297508239746,True
Agent_Random,20,1000,0,0,0.009002447128295898,False
BFS,21,15984,143,195,0.05901288986206055,True
DFS,21,15475,0,0,0.05901288986206055,False
DLS,21,118,0,0,0,False
UCS,21,15984,143,195,0.15703487396240234,True
Agent_Random,21,1000,0,0,0.008002042770385742,False
BFS,22,8007,90,99,0.029006242752075195,True
DFS,22,12674,0,0,0.029006242752075195,False
DLS,22,112,0,0,0,False
UCS,22,8001,90,99,0.05901360511779785,True
Agent_Random,22,1000,0,0,0.009001493453979492,False
BFS,23,13746,106,383,0.0490107536315918,True
DFS,23,5465,0,0,0.0490107536315918,False
DLS,23,215,0,0,0,False
UCS,23,13736,106,383,0.1180257797241211,True
Agent_Random,23,1000,0,0,0.009003400802612305,False
BFS,24,14757,111,149,0.052011728286743164,True
DFS,24,15332,0,0,0.052011728286743164,False
DLS,24,111,0,0,0,False
UCS,24,14757,111,149,0.1290299892425537,True
Agent_Random,24,1000,0,0,0.008001565933227539,False
BFS,25,7459,63,114,0.024007081985473633,True
DFS,25,6683,0,0,0.024007081985473633,False
DLS,25,155,0,0,0,False
UCS,25,7472,63,114,0.060013532638549805,True
Agent_Random,25,1000,0,0,0.009002447128295898,False
BFS,26,10122,61,108,0.03400754928588867,True
DFS,26,8910,0,0,0.03400754928588867,False
DLS,26,190,0,0,0,False
UCS,26,10209,61,108,0.1000218391418457,True
Agent_Random,26,1000,0,0,0.012002229690551758,False
BFS,27,16617,135,341,0.058012962341308594,True
DFS,27,3073,0,0,0.058012962341308594,False
DLS,27,179,0,0,0,False
UCS,27,16625,135,341,0.14403200149536133,True
Agent_Random,27,1000,0,0,0.009001731872558594,False
BFS,28,6658,68,209,0.022005081176757812,True
DFS,28,6104,0,0,0.022005081176757812,False
DLS,28,138,0,0,0,False
UCS,28,6746,68,209,0.049010515213012695,True
Agent_Random,28,1000,0,0,0.009001970291137695,False
BFS,29,4334,55,163,0.014002561569213867,True
DFS,29,3301,0,0,0.014002561569213867,False
DLS,29,115,0,0,0,False
UCS,29,4276,55,163,0.0290071964263916,True
Agent_Random,29,1000,0,0,0.009002208709716797,False
BFS,30,7010,53,178,0.02200484275817871,True
DFS,30,5856,0,0,0.02200484275817871,False
DLS,30,161,0,0,0,False
UCS,30,6911,53,178,0.0580134391784668,True
Agent_Random,30,1000,0,0,0.008002281188964844,False
