algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,1,1824,27,63,0.005001068115234375,True
DFS,1,6284,0,0,0.005001068115234375,False
Limited Search,1,182,0,0,0,False
UCS Esc 1,1,1847,27,,0.014003515243530273,True
UCS Esc 2,1,2179,,63,0.018003463745117188,True
Agent_Random,1,1000,0,0,0.008001565933227539,False
A* Esc 1,1,1014,27,,0.011001348495483398,True
A* Esc 2,1,1059,,63,0.011002540588378906,True
BFS,2,12975,84,211,0.04300975799560547,True
DFS,2,5862,0,0,0.04300975799560547,False
Limited Search,2,145,0,0,0,False
UCS Esc 1,2,12947,84,,0.15503430366516113,True
UCS Esc 2,2,12676,,211,0.14303183555603027,True
Agent_Random,2,1000,0,0,0.009002208709716797,False
A* Esc 1,2,8833,84,,0.12602829933166504,True
A* Esc 2,2,9025,,211,0.13003063201904297,True
BFS,3,3949,54,194,0.014001846313476562,True
DFS,3,15217,0,0,0.014001846313476562,False
Limited Search,3,232,0,0,0,False
UCS Esc 1,3,3872,54,,0.03100728988647461,True
UCS Esc 2,3,4186,,194,0.040008544921875,True
Agent_Random,3,1000,0,0,0.014003992080688477,False
A* Esc 1,3,1809,54,,0.015002727508544922,True
A* Esc 2,3,1928,,194,0.017003536224365234,True
BFS,4,7121,47,85,0.023005962371826172,True
DFS,4,13463,0,0,0.023005962371826172,False
Limited Search,4,235,0,0,0,False
UCS Esc 1,4,7274,47,,0.09402108192443848,True
UCS Esc 2,4,4348,,85,0.05201220512390137,True
Agent_Random,4,1000,0,0,0.009006023406982422,False
A* Esc 1,4,2449,47,,0.023005247116088867,True
A* Esc 2,4,2474,,85,0.02500629425048828,True
BFS,5,14843,130,336,0.0490114688873291,True
DFS,5,5458,0,0,0.0490114688873291,False
Limited Search,5,128,0,0,0,False
UCS Esc 1,5,14847,130,,0.15052533149719238,True
UCS Esc 2,5,14662,,336,0.15504169464111328,True
Agent_Random,5,1000,0,0,0.008002042770385742,False
A* Esc 1,5,12941,130,,0.15400457382202148,True
A* Esc 2,5,13028,,336,0.1560349464416504,True
BFS,6,11178,83,98,0.03600764274597168,True
DFS,6,13471,0,0,0.03600764274597168,False
Limited Search,6,155,0,0,0,False
UCS Esc 1,6,11224,83,,0.12302851676940918,True
UCS Esc 2,6,7690,,98,0.10402250289916992,True
Agent_Random,6,1000,0,0,0.008001327514648438,False
A* Esc 1,6,7001,83,,0.08301925659179688,True
A* Esc 2,6,6945,,98,0.08301901817321777,True
BFS,7,12066,78,260,0.04200911521911621,True
DFS,7,1652,790,2248,0.011002302169799805,True
Limited Search,7,213,0,0,0,False
UCS Esc 1,7,12159,78,,0.15503430366516113,True
UCS Esc 2,7,11589,,260,0.1180267333984375,True
Agent_Random,7,1000,0,0,0.008002281188964844,False
A* Esc 1,7,7263,78,,0.09402084350585938,True
A* Esc 2,7,7600,,260,0.10102272033691406,True
BFS,8,12908,80,222,0.042009592056274414,True
DFS,8,4363,0,0,0.042009592056274414,False
Limited Search,8,129,0,0,0,False
UCS Esc 1,8,12974,80,,0.16603827476501465,True
UCS Esc 2,8,11945,,222,0.13302969932556152,True
Agent_Random,8,1000,0,0,0.008002281188964844,False
A* Esc 1,8,7403,80,,0.09902119636535645,True
A* Esc 2,8,7565,,222,0.10202312469482422,True
BFS,9,10671,83,211,0.034008026123046875,True
DFS,9,11095,0,0,0.034008026123046875,False
Limited Search,9,80,0,0,0,False
UCS Esc 1,9,10799,83,,0.1180274486541748,True
UCS Esc 2,9,8539,,211,0.08701848983764648,True
Agent_Random,9,1000,0,0,0.00800180435180664,False
A* Esc 1,9,6767,83,,0.07601737976074219,True
A* Esc 2,9,6817,,211,0.07601714134216309,True
BFS,10,12026,102,280,0.0400090217590332,True
DFS,10,16533,0,0,0.0400090217590332,False
Limited Search,10,151,0,0,0,False
UCS Esc 1,10,11998,102,,0.12448334693908691,True
UCS Esc 2,10,12278,,280,0.12598848342895508,True
Agent_Random,10,1000,0,0,0.00800180435180664,False
A* Esc 1,10,8001,102,,0.08500552177429199,True
A* Esc 2,10,8151,,280,0.08801722526550293,True
BFS,11,13370,90,262,0.04301023483276367,True
DFS,11,1943,962,2680,0.012002229690551758,True
Limited Search,11,185,0,0,0,False
UCS Esc 1,11,13415,90,,0.16797518730163574,True
UCS Esc 2,11,12592,,262,0.13600754737854004,True
Agent_Random,11,1000,0,0,0.008002042770385742,False
A* Esc 1,11,7135,90,,0.09302091598510742,True
A* Esc 2,11,7403,,262,0.09594964981079102,True
BFS,12,6051,68,78,0.021004199981689453,True
DFS,12,14064,0,0,0.021004199981689453,False
Limited Search,12,160,0,0,0,False
UCS Esc 1,12,6189,68,,0.053948402404785156,True
UCS Esc 2,12,2632,,78,0.020904541015625,True
Agent_Random,12,1000,0,0,0.008001089096069336,False
A* Esc 1,12,2808,68,,0.02400493621826172,True
A* Esc 2,12,2740,,78,0.022005319595336914,True
BFS,13,15738,147,230,0.05397224426269531,True
DFS,13,16451,0,0,0.05397224426269531,False
Limited Search,13,188,0,0,0,False
UCS Esc 1,13,15738,147,,0.15599751472473145,True
UCS Esc 2,13,16007,,230,0.17500710487365723,True
Agent_Random,13,1000,0,0,0.008002758026123047,False
A* Esc 1,13,14624,147,,0.16601252555847168,True
A* Esc 2,13,14693,,230,0.1677532196044922,True
BFS,14,4206,52,91,0.014029502868652344,True
DFS,14,8580,0,0,0.014029502868652344,False
Limited Search,14,176,0,0,0,False
UCS Esc 1,14,4219,52,,0.035007476806640625,True
UCS Esc 2,14,4210,,91,0.04831242561340332,True
Agent_Random,14,1000,0,0,0.009001970291137695,False
A* Esc 1,14,2722,52,,0.02700638771057129,True
A* Esc 2,14,2737,,91,0.02400517463684082,True
BFS,15,5527,57,174,0.017004013061523438,True
DFS,15,10130,0,0,0.017004013061523438,False
Limited Search,15,126,0,0,0,False
UCS Esc 1,15,5516,57,,0.053011417388916016,True
UCS Esc 2,15,5815,,174,0.05301260948181152,True
Agent_Random,15,1000,0,0,0.007999897003173828,False
A* Esc 1,15,3048,57,,0.02800607681274414,True
A* Esc 2,15,3169,,174,0.029007911682128906,True
BFS,16,2827,29,37,0.009002447128295898,True
DFS,16,15541,0,0,0.009002447128295898,False
Limited Search,16,130,0,0,0,False
UCS Esc 1,16,2935,29,,0.029006481170654297,True
UCS Esc 2,16,1119,,37,0.008002042770385742,True
Agent_Random,16,1000,0,0,0.008002042770385742,False
A* Esc 1,16,1043,29,,0.008002758026123047,True
A* Esc 2,16,1008,,37,0.008001089096069336,True
BFS,17,10385,98,181,0.03500795364379883,True
DFS,17,6305,0,0,0.03500795364379883,False
Limited Search,17,97,0,0,0,False
UCS Esc 1,17,10385,98,,0.10202336311340332,True
UCS Esc 2,17,12231,,181,0.12602806091308594,True
Agent_Random,17,1000,0,0,0.00800013542175293,False
A* Esc 1,17,6224,98,,0.061014652252197266,True
A* Esc 2,17,6291,,181,0.06201314926147461,True
BFS,18,2307,26,36,0.00800180435180664,True
DFS,18,11420,0,0,0.00800180435180664,False
Limited Search,18,156,0,0,0,False
UCS Esc 1,18,2400,26,,0.022005796432495117,True
UCS Esc 2,18,1150,,36,0.008002042770385742,True
Agent_Random,18,1000,0,0,0.00800180435180664,False
A* Esc 1,18,896,26,,0.007002592086791992,True
A* Esc 2,18,890,,36,0.007000923156738281,True
BFS,19,11690,94,122,0.03900885581970215,True
DFS,19,11836,0,0,0.03900885581970215,False
Limited Search,19,99,0,0,0,False
UCS Esc 1,19,11699,94,,0.13703083992004395,True
UCS Esc 2,19,9061,,122,0.11202573776245117,True
Agent_Random,19,1000,0,0,0.008001089096069336,False
A* Esc 1,19,7672,94,,0.09102034568786621,True
A* Esc 2,19,7619,,122,0.09102106094360352,True
BFS,20,14160,95,244,0.04701042175292969,True
DFS,20,5026,0,0,0.04701042175292969,False
Limited Search,20,211,0,0,0,False
UCS Esc 1,20,14176,95,,0.17003822326660156,True
UCS Esc 2,20,13409,,244,0.1490342617034912,True
Agent_Random,20,1000,0,0,0.008002519607543945,False
A* Esc 1,20,10405,95,,0.14403104782104492,True
A* Esc 2,20,10561,,244,0.1470324993133545,True
BFS,21,15984,143,195,0.05401110649108887,True
DFS,21,15475,0,0,0.05401110649108887,False
Limited Search,21,118,0,0,0,False
UCS Esc 1,21,15984,143,,0.16203641891479492,True
UCS Esc 2,21,15461,,195,0.18804216384887695,True
Agent_Random,21,1000,0,0,0.008001089096069336,False
A* Esc 1,21,14919,143,,0.17904019355773926,True
A* Esc 2,21,14902,,195,0.1800401210784912,True
BFS,22,8007,90,99,0.027006864547729492,True
DFS,22,12674,0,0,0.027006864547729492,False
Limited Search,22,112,0,0,0,False
UCS Esc 1,22,8001,90,,0.07501626014709473,True
UCS Esc 2,22,4764,,99,0.04301047325134277,True
Agent_Random,22,1000,0,0,0.008001089096069336,False
A* Esc 1,22,3369,90,,0.0290069580078125,True
A* Esc 2,22,3356,,99,0.029006481170654297,True
BFS,23,13746,106,383,0.04601025581359863,True
DFS,23,5465,0,0,0.04601025581359863,False
Limited Search,23,215,0,0,0,False
UCS Esc 1,23,13736,106,,0.1490340232849121,True
UCS Esc 2,23,13855,,383,0.14403247833251953,True
Agent_Random,23,1000,0,0,0.008001565933227539,False
A* Esc 1,23,10428,106,,0.13002896308898926,True
A* Esc 2,23,10698,,383,0.12802934646606445,True
BFS,24,14757,111,149,0.0490107536315918,True
DFS,24,15332,0,0,0.0490107536315918,False
Limited Search,24,111,0,0,0,False
UCS Esc 1,24,14757,111,,0.1670362949371338,True
UCS Esc 2,24,12059,,149,0.18204140663146973,True
Agent_Random,24,1000,0,0,0.010003328323364258,False
